127.0.0.1 - - [27/Jun/2018:13:29:05 +0800] "GET / HTTP/1.1" 404 951
192.168.1.26 - - [27/Jun/2018:13:29:33 +0800] "GET /website/bisicmessage/authentication HTTP/1.1" 302 -
192.168.1.26 - - [27/Jun/2018:13:29:33 +0800] "GET /website/login?redirect_url=/bisicmessage/authentication HTTP/1.1" 200 104939
192.168.1.26 - - [27/Jun/2018:13:29:35 +0800] "GET /website/member/image1 HTTP/1.1" 200 742
192.168.1.26 - - [27/Jun/2018:13:29:35 +0800] "GET /website/member/image HTTP/1.1" 200 884
192.168.1.26 - - [27/Jun/2018:13:29:46 +0800] "GET /website/stock HTTP/1.1" 200 42473
192.168.1.26 - - [27/Jun/2018:13:29:46 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:31:17 +0800] "GET /website/stock HTTP/1.1" 200 42447
192.168.1.26 - - [27/Jun/2018:13:31:17 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:31:17 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:07 +0800] "GET /website/stock HTTP/1.1" 200 42559
192.168.1.26 - - [27/Jun/2018:13:33:07 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:07 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:08 +0800] "GET /website/stock HTTP/1.1" 200 42559
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/stock HTTP/1.1" 200 42559
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/stock HTTP/1.1" 200 42559
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/stock HTTP/1.1" 200 42559
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:09 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:16 +0800] "GET /website/stock HTTP/1.1" 200 42564
192.168.1.26 - - [27/Jun/2018:13:33:17 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:17 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/stock HTTP/1.1" 200 42560
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/stock HTTP/1.1" 200 42560
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:50 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
192.168.1.26 - - [27/Jun/2018:13:33:51 +0800] "GET /website/stock HTTP/1.1" 200 42560
192.168.1.26 - - [27/Jun/2018:13:33:51 +0800] "GET /website/excelIcon.png HTTP/1.1" 404 993
